Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Abstract,Author Keywords,Index Keywords,Funding Details,Document Type,Publication Stage,Access Type,Source,EID
[No author name available],[No author id available],[No title available],2010,,,,,"","",,1,,,[No abstract available],,,,,"Final",,Scopus,2-s2.0-77649317197
[No author name available],[No author id available],[No title available],2010,,,,,"","",,1,,,[No abstract available],,,,,"Final",,Scopus,2-s2.0-77649316880
[No author name available],[No author id available],[No title available],2010,,,,,"","",,1,,,[No abstract available],,,,,"Final",,Scopus,2-s2.0-77649316562
[No author name available],[No author id available],[No title available],2010,,,,,"","",,1,,,[No abstract available],,,,,"Final",,Scopus,2-s2.0-77649315904
[No author name available],[No author id available],[No title available],2010,,,,,"","",,1,,,[No abstract available],,,,,"Final",,Scopus,2-s2.0-77649314669
[No author name available],[No author id available],[No title available],2010,,,,,"","",,1,,,[No abstract available],,,,,"Final",,Scopus,2-s2.0-77649313738
[No author name available],[No author id available],[No title available],2010,,,,,"","",,1,,,[No abstract available],,,,,"Final",,Scopus,2-s2.0-77649313096
[No author name available],[No author id available],[No title available],2010,,,,,"","",,1,,,[No abstract available],,,,,"Final",,Scopus,2-s2.0-77649305834
[No author name available],[No author id available],[No title available],2010,,,,,"","",,1,,,[No abstract available],,,,,"Final",,Scopus,2-s2.0-77649299811
[No author name available],[No author id available],[No title available],2010,,,,,"","",,1,,,[No abstract available],,,,,"Final",,Scopus,2-s2.0-77649299191
[No author name available],[No author id available],[No title available],2010,,,,,"","",,1,,,[No abstract available],,,,,"Final",,Scopus,2-s2.0-77649298597
[No author name available],[No author id available],[No title available],2010,,,,,"","",,1,,,[No abstract available],,,,,"Final",,Scopus,2-s2.0-77649298261
[No author name available],[No author id available],[No title available],2010,,,,,"","",,1,,,[No abstract available],,,,,"Final",,Scopus,2-s2.0-77649297954
[No author name available],[No author id available],[No title available],2010,,,,,"","",,1,,,[No abstract available],,,,,"Final",,Scopus,2-s2.0-77649294513
[No author name available],[No author id available],[No title available],2010,,,,,"","",,1,,,[No abstract available],,,,,"Final",,Scopus,2-s2.0-77649294504
[No author name available],[No author id available],[No title available],2010,,,,,"","",,1,,,[No abstract available],,,,,"Final",,Scopus,2-s2.0-77649292608
"Trubitt","","Mary Beth Forthcoming Caddo in the Saline River Valley of Arkansas: The Borderlands Project and the Hughes Site",2010,"The Archaeology of the Caddo",,,,"","",,1,,,[No abstract available],,,,,"Final",,Scopus,2-s2.0-77649291391
[No author name available],[No author id available],[No title available],2010,,,,,"","",,1,,,[No abstract available],,,,,"Final",,Scopus,2-s2.0-77649290418
[No author name available],[No author id available],[No title available],2010,,,,,"","",,1,,,[No abstract available],,,,,"Final",,Scopus,2-s2.0-77649287618
[No author name available],[No author id available],[No title available],2010,,,,,"","",,1,,,[No abstract available],,,,,"Final",,Scopus,2-s2.0-77649284361
[No author name available],[No author id available],[No title available],2010,,,,,"","",,1,,,[No abstract available],,,,,"Final",,Scopus,2-s2.0-77649284046
[No author name available],[No author id available],[No title available],2010,,,,,"","",,1,,,[No abstract available],,,,,"Final",,Scopus,2-s2.0-77649281173
[No author name available],[No author id available],[No title available],2010,,,,,"","",,1,,,[No abstract available],,,,,"Final",,Scopus,2-s2.0-77649281158
[No author name available],[No author id available],[No title available],2010,,,,,"","",,1,,,[No abstract available],,,,,"Final",,Scopus,2-s2.0-77649279650
[No author name available],[No author id available],[No title available],2010,,,,,"","",,1,,,[No abstract available],,,,,"Final",,Scopus,2-s2.0-77649279307
[No author name available],[No author id available],[No title available],2010,,,,,"","",,1,,,[No abstract available],,,,,"Final",,Scopus,2-s2.0-77649277832
"Trubitt M.B., Reynolds M.","","Dating Caddo Indian Habitation at the Hughes Site (3SA11). Henderson State University's",2007,"Academic Forum","24",,,"28","39",,1,,,[No abstract available],,,,,"Final",,Scopus,2-s2.0-77649285390
[No author name available],[No author id available],"The Deshazo Site, Nacogdoches County, Texas",1982,"Texas Antiquities Permit Series","1",,,"","",,1,,,[No abstract available],,,,,"Final",,Scopus,2-s2.0-43749096874
"Rolingson M.A., Schambach F.F.","","The Shallow Lake Site (3UN9/52) and Its Place in Regional Prehistory",1981,"Research Series","12",,,"","",,1,,,[No abstract available],,,,,"Final",,Scopus,2-s2.0-77649288605
"Briscoe J.","",[No title available],1977,"Plantation Site (Mi-63), an Early Caddoan Settlement in Eastern Oklahoma",,"3",,"","",,1,,,[No abstract available],,,,,"Final",,Scopus,2-s2.0-77649295421
[No author name available],[No author id available],"The Functional Anatomy of a Multi-level Mound",1972,"1972 Caddo Conference. Ms. on. file",,,,"","",,1,,,[No abstract available],,,,,"Final",,Scopus,2-s2.0-77649300751
[No author name available],[No author id available],[No title available],1943,,"15","66-79",,"","",,1,,,[No abstract available],,,,,"Final",,Scopus,2-s2.0-77649309412
"Parsons E.C.","",[No title available],1941,"Notes on the Caddo",,"57",,"","",,1,,,[No abstract available],,,,,"Final",,Scopus,2-s2.0-77649311545
"Dellinger S.C., Dickinson S.D.","","Excavations of the Adair Site, Garland County, Arkansas",1939,"Manuscript report on file at Arkansas Archeological",,,,"","",,1,,,[No abstract available],,,,,"Final",,Scopus,2-s2.0-77649327417
