Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Abstract,Author Keywords,Index Keywords,Funding Details,Funding Text 1,Document Type,Publication Stage,Access Type,Source,EID
"Van de Water P.K., Leavitt S.W., Betancourt J.L.","6602808356;7004960339;7005037015;","Leaf δ13C variability with elevation, slope aspect, and precipitation in the southwest United States",2002,"Oecologia","132","3",,"332","343",,152,"10.1007/s00442-002-0973-x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0036930308&doi=10.1007%2fs00442-002-0973-x&partnerID=40&md5=fc010b0e07839ff8e2addc149f8df882","Leaves from several desert and woodland species, including gymnosperms and angiosperms with both C3 and C4 physiology, were analyzed to detect trends in δ13Cleaf with elevation and slope aspect along two transects in southeastern Utah and south-central New Mexico, USA. The main difference between the two transects is the steeper elevational gradient for mean annual and summer precipitation in the southern transect. For any given species, we found that isotopic differences between individual plants growing at the same site commonly equal differences measured for plants along the entire altitudinal gradient. In C3 plants, δ13Cleaf values become slightly enriched at the lowest elevations, the opposite of trends identified in more humid regions. Apparently, increasing water-use efficiency with drought stress offsets the influence of other biotic and abiotic factors that operate to decrease isotopic discrimination with elevation. For some species shared by the two transects (e.g., Pinus edulis and Cercocarpus montanus), δ13Cleaf values are dramatically depleted at sites that receive more than 550 mm mean annual precipitation, roughly the boundary (pedalfer-pedocal) at which soils commonly fill to field capacity in summer and carbonates are leached. We hypothesize that, in summer-wet areas, this may represent the boundary at which drought stress overtakes other factors in determining the sign of δ13Cleaf with elevation. The opposition of isotopic trends with elevation in arid versus humid regions cautions against standard correction for elevation in comparative studies of δ13Cleaf.","C3 and C4 plants; Carbon isotope composition; Elevation; Precipitation; Slope aspect","aspect; C3 plant; C4 plant; carbon isotope; drought stress; elevation; leaf; precipitation (climatology); United States; Cercocarpus montanus; Gymnospermae; Magnoliophyta; Pinus edulis","U.S. Geological Survey, USGS

National Science Foundation, NSF: EAR-9418268","Acknowledgements Funding was provided by NSF grant EAR-9418268 to S.W. Leavitt and J.L. Betancourt, supplemented by support from the U.S. Geological Survey. Austin Long provided access to the mass-spectrometer facility at the University of Arizona. Ed Wright and Tom Harlan assisted with field collections. Ed Weideman, Lisa Pedicino, Nicole Ricketts, and Melanie Lenart assisted in the laboratory preparation.",Article,"Final",,Scopus,2-s2.0-0036930308
"Schwarcz H.P., Melbye J., Anne Katzenberg M., Knyf M.","7005926560;24454119900;15061029600;6506026373;","Stable isotopes in human skeletons of Southern Ontario: reconstructing Palaeodiet",1985,"Journal of Archaeological Science","12","3",,"187","206",,152,"10.1016/0305-4403(85)90020-2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0022181117&doi=10.1016%2f0305-4403%2885%2990020-2&partnerID=40&md5=b02c677ad5403a0d354dde02952ceceb","Most native plants of Ontario use the C3 photosynthetic mechanism and therefore have relatively low 13C12C ratios; maize is a C4 plant and is relatively enriched in 13C. The proportion of maize in the diet of a human can therefore be estimated from the 13C-content of collagen of fossil bone. We have used this method to follow the increase in consumption of maize in ancient native populations over the interval from AD 400 to 1650, and to quantify the amount of maize consumed. Maize consumption rose gradually to a maximum of 50% of the diet by AD 1400. These data agree with archaeologically derived data for this region, and with previous isotope studies in the northeastern U.S.A. In some of the latter, however, the maximum percentage of maize consumed has been overestimated because maize was assumed to have a δ13C value of -12·5‰; our studies of archaeological specimens show the correct value to be closer to -9‰. The introduction of beans into the native diet about AD 1100, should have caused a decrease in the 15N content of human bone collagen because legumes are deficient in this isotope, with respect to meat and fish. However, we observe no significant change in the 15N14N ratio of human bone collagen over the period from 2300 BC to AD 1640. We conclude that meat and fish remained the main sources of protein even after the advent of agriculture into this region. © 1985.","amaranth; bean; bone; C3 plant; C4 plant; carbon isotope; chenopod; collagen; great lakes prehistory; huron; iroquois; maize; nitrogen isotope; palaeodiet; woodland","amaranth; bean; carbon isotope; chenopod; Great Lakes; Iroquois; maize; nitrogen isotope; prehistory",,"Acknowledgements This research was supported by a grant to Melbye and Schwartz from the Ontario Heritage Foundation. We acknowledge assistance from Dr Jerry Cybulski of the National Museum of Man, and Dr Eldon Molton, for providing some of the samples of bone. Dr Ajit Ray provided laboratory space and facilities for collagen extraction. John Reid was helpful in supplying additional laboratory equipment. We thank Drs Peter Ramsden, Gary Crawford and William Noble for providing samples of corn from archaeological’ sites for analysis. Dr J. Pringle of the Royal Botanical Gardens, Burlington, Ontario kindly provided modern samples of amaranth and chenopodium. The paper benefited from useful discussions with Gary Crawford (who commented on an earlier version of the manuscript), Mary Jackes, and William Noble. Clara Stewart assisted in preparation of the manuscript.",Article,"Final",,Scopus,2-s2.0-0022181117
"Tieszen L.L., Fagre T.","6701501258;24310214800;","Carbon isotopic variability in modern and archaeological maize",1993,"Journal of Archaeological Science","20","1",,"25","40",,130,"10.1006/jasc.1993.1002","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0001935004&doi=10.1006%2fjasc.1993.1002&partnerID=40&md5=eabefd41989065f8cf0e94d9678006d6","The carbon isotope compositions of maize seeds and seed components from three modern collections and archaeological sources were determined to examine biochemical variations in isotopic composition to establish the extent of variation in maize and maize types and to test whether archaeological samples were enriched in 13C relative to modern seeds. Endosperm was more positive (-10·8%) and the embryo more negative (-11·9%) than seed coats (-11·2%). This was consistent with more positive starch and more negative lipid and protein fractions in these compartments. Modern North American maize showed little variation (X¯ = −11·2 ± 0.03%) compared to the more diversified accessions from CIMMYT (X¯ = 11·0 ± 0·07%), or Goodman (X¯ = −10·7 ± 0·02). Although genetic variation is present, there were no significant differences among dent, flint, flour and sugar types. Archaeological maize does not change during carbonization, has a similar biochemical isotopic composition to modern maize and, when adjusted for anthropogenic alteration of atmospheric δ13CO2, has the same isotopic composition as modern maize. © 1993 Academic Press Limited.","Carbon Isotope; Collagen; Corn; Diet; Maize; δ13C",,,,Article,"Final",,Scopus,2-s2.0-0001935004
"Powell M.L.","","The analysis of dental wear and caries for dietary reconstruction",1985,"The Analysis of Prehistoric Diets",,,,"307","338",,118,,,[No abstract available],,,,,,,,Scopus,2-s2.0-0000251450
"Buchmann N., Brooks J.R., Rapp K.D., Ehleringer J.R.","7003333258;7402788471;36842349900;7005417981;","Carbon isotope composition of C4 grasses is influenced by light and water supply",1996,"Plant, Cell and Environment","19","4",,"392","402",,117,"10.1111/j.1365-3040.1996.tb00331.x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0030063197&doi=10.1111%2fj.1365-3040.1996.tb00331.x&partnerID=40&md5=e4b9304684a166ba9015b7d1a7b923f5","The carbon isotope composition of C4 grasses has the potential to be used as an indicator of changes in the isotopic composition and concentration of atmospheric CO2, especially for climate reconstruction. The usefulness of C4 grasses for this purpose hinges on the assumption that their photosynthetic discrimination against 13C remains constant in a wide range of environmental conditions. We tested this assumption by examining the effects of light and water stress on the carbon isotope composition of C4 grasses using different biochemical subtypes (NADP-ME, NAD-ME, PCK) in glasshouse experiments. We grew 14 different C4 grass species in four treatments: sun-watered, sun-drought, shade-watered and shade-drought. Carbon isotope discrimination (Δ) rarely remained constant. In general, Δ values were lowest in sun-watered grasses, greater for sun-drought plants and even higher for plants of the shade-watered treatment. The highest Δ values were generally found in the most stressed grasses, the shade-drought plants. Grasses of the NADP-ME subtype were the least influenced by a change in environmental variables, followed by PCK and NAD-ME subtypes. Water availability affected the carbon isotope discrimination less than light limitation in PCK and NAD-ME subtypes, but similarly in NADP-ME subtypes. In another experiment, we studied the effect of increasing light levels (150 to 1500 μmol photons m-2 s-1) on the Δ values of 18 well-watered C4 grass species. Carbon isotope discrimination remained constant until photon flux density (PFD) was less than 700 μmol photons m-2 s-1. Below this light level, Δ values increased with decreasing irradiance for all biochemical subtypes. The change in Δ was less pronounced in NADP-ME and PCK than in NAD-ME grasses. Grasses grown in the field and in the glasshouse showed a similar pattern. Thus, caution should be exercised when using C4 plants under varying environmental conditions to monitor the concentration or carbon isotopic composition of atmospheric CO2 in field/glasshouse studies or climate reconstruction.","C4 grasses; Carbon isotope; Climate reconstruction; Discrimination; Global change; Light; Water; δ13C",,,,Article,"Final",,Scopus,2-s2.0-0030063197
"Codron J., Codron D., Lee-Thorp J.A., Sponheimer M., Bond W.J., de Ruiter D., Grant R.","8515892500;8515892400;7004460588;7003895162;56522583600;6602944661;8886277100;","Taxonomic, anatomical, and spatio-temporal variations in the stable carbon and nitrogen isotopic compositions of plants from an African savanna",2005,"Journal of Archaeological Science","32","12",,"1757","1772",,115,"10.1016/j.jas.2005.06.006","https://www.scopus.com/inward/record.uri?eid=2-s2.0-26844464371&doi=10.1016%2fj.jas.2005.06.006&partnerID=40&md5=d2ccc0d2d63ce6bebc24c35d9f7c36ef","Stable carbon (δ13C) and nitrogen (δ15N) isotope ratios are commonly used to reconstruct palaeodiets and palaeoenvironments. The method is based on our knowledge of isotopic patterns in plants, which are subject to taxonomic and environmental variability. While previous researchers have addressed isotopic variability amongst plants, no studies have looked extensively at a broad suite of taxa over multiple temporal scales from within the savanna biome so as to provide baseline data for palaeodietary and palaeoenvironmental studies. Here we document variations in the isotopic compositions of plants collected over two years from the Kruger National Park, South Africa, with respect to species and anatomical differences, and the influences of geological substrate and spatio-temporal shifts in climate. Results show that environmentally-induced carbon isotopic variations in plants within this region are generally smaller than 2‰, which is lower than what has been previously reported for plants compared across multiple habitat-types. These data suggest that δ13C differences of ∼2‰ or more (or ∼1‰ if the diet is predominantly C4) between animals from a given area reliably indicate real dietary differences. Plant δ15N values vary greatly between different microhabitats (by up to 4‰), responding to a range of environmental influences that may, in turn, significantly influence variation in animal δ15N values. © 2005 Elsevier Ltd. All rights reserved.","Palaeodiet; Photosynthesis; Plants; Stable isotopes","anatomy; isotopic analysis; plant; savanna; spatiotemporal analysis; taxonomy; Africa; Eastern Hemisphere; Kruger National Park; South Africa; Southern Africa; Sub-Saharan Africa; World; Animalia","National Science Foundation, NSF

University of Cape Town, UCT

Raynaudâs and Scleroderma Association, RSA","This research was funded by the Palaeontological Scientific Trust (RSA), the National Research Foundation (RSA), the National Science Foundation (USA), and the University of Cape Town. John Lanham, Ian Newton, Thiyane Duda, Nicolaas Fourie, and James Ayuk are thanked for assistance with laboratory work. We thank Yasmin Rahman, Adam West, Shela Patrickson, Alex Baugh, Abri de Buys, Angela Gaylard, Charles Trennery, Retha Jansen van Vuuren, Irving Knight, Obert Mathebula, Wilson Dhinda, Velly Mandla Ndlovu, Johane Baloyi, and Million Cossa for help in the field, Norman Owen-Smith for suggestions, and Scientific Services of the Kruger National Park for permission to conduct the research there. Rainfall data was provided by the South African Weather Bureau and by Nick Zambatis (Kruger National Park). We further thank three anonymous reviewers for comments on the manuscript.",Article,"Final",,Scopus,2-s2.0-26844464371
"Bender M.M., Baerreis D.A., Steventon R.L.","16494556200;6504579488;6603278853;","Further Light on Carbon Isotopes and Hopewell Agriculture",1981,"American Antiquity","46","2",,"346","353",,100,"10.2307/280213","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0000141147&doi=10.2307%2f280213&partnerID=40&md5=017acd83310966f2a465a75d4458c314","The 13C/12C ratio in human collagen was determined for 19 individuals from Hopewell sites in Wisconsin, Illinois, and Ohio and compared with 27 new measurements from individuals of Archaic, Mississippian, and Late Woodland affiliation. Additional measurements were made of elements in the food chain and on experimental animals fed on a diet of known composition containing maize. The similarity of the Hopewell measurements to those of nonmaize diets indicates that corn was of little importance in the Hopewell diet for those populations tested. Copyright © Society for American Archaeology 1981.",,,,,Article,"Final",,Scopus,2-s2.0-0000141147
"Coltrain J.B., Leavilt S.W.","8762903700;35177812100;","Climate and diet in fremont prehistory: Economic variability and abandonment of maize agriculture in the Great Salt Lake basin",2002,"American Antiquity","67","3",,"453","485",,80,"10.2307/1593822","https://www.scopus.com/inward/record.uri?eid=2-s2.0-1642429526&doi=10.2307%2f1593822&partnerID=40&md5=1e7872430269c6efc09d165178e96302","Research reported here is based on the stable isotope (δ 13C, δ15N) and radiocarbon chemistry of Fremont burials from wetlands lining the eastern shores of the Great Salt Lake (GSL). Bone collagen stable isotope signatures covary with reliance on maize and intake of animal protein, facilitating useful reconstructions of past diet. Among the GSL Fremont, economic strategies vary over time with an initial increase in reliance on maize (A.D. 400-850) followed by a period of marked economic diversity (A.D 850-1150) then a return to reliance on wild foods (after A.D. 1150). During the period of greatest economic diversity, male and female diets vary significantly and male diets are correlated with status differences evidenced by grave goods. There is also a clear temporal correlation between the rapid abandonment of maize agriculture and significant moisture anomalies in regional tree-ring chronologies and pollen profiles. These results are discussed in the context of recent arguments regarding economic diversity, social complexity, and the demise of the Fremont. © 2002 by the Society for American Archaeology.",,,,,Article,"Final",,Scopus,2-s2.0-1642429526
"Hutchinson D.L., Larsen C.S., Schoeninger M.J., Norr L.","7202843045;7202409564;6701622166;6507073487;","Regional variation in the pattern of maize adoption and use in Florida and Georgia",1998,"American Antiquity","63","3",,"397","416",,75,"10.2307/2694627","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0000596523&doi=10.2307%2f2694627&partnerID=40&md5=c36af1d6f09e1f977001d7e56ddc7e31","Dietary reconstruction using carbon and nitrogen stable isotopes from archaeological human bone samples from coastal Georgia and northern and Gulf Coast Florida dating between 400 B.C. and A.D. 1700 serves to illustrate the complexity of the agricultural transition in that region. Isotope analysis of 185 collagen samples drawn from early prehistoric, late prehistoric, and contact-period mortuary sites encompasses two major adaptive shifts in the region, namely the adoption of maize agriculture in late prehistory and the increased emphasis on maize during the mission period. Prior to European contact - and especially before the establishment of Spanish missions among the Guale, Yamasee, Timucua, and Apalachee tribal groups - diet was strongly influenced by local environmental factors. Before contact, coastal and inland populations had different patterns of food consumption, as did populations living in Georgia and Florida. Coastal populations consumed more marine and less terrestrial foods than inland populations. In general, maize was adopted during the eleventh century A.D. by virtually all Georgia populations. However, with the exception of the Lake Jackson site, a major Mississippian center in northern Florida, Florida populations show little use of maize before contact. Following European contact, maize became widespread, regardless of location or habitat within the broad region of Spanish Florida. Missionization appears to have been an important factor in the convergence of native diets toward agriculture and away from foraging. This increased emphasis on maize contributed to a decline in quality of life for native populations. Copyright © by the Society for American Archaeology.",,,,,Article,"Final",,Scopus,2-s2.0-0000596523
"Bowman W.D., Hubick K.T., Von Caemmerer S., Farquhar G.D.","","Short-term changes in leaf carbon isotope discrimination in salt- and water-stressed C<inf>4</inf> grasses",1989,"Plant Physiology","90","1",,"162","166",,75,,,[No abstract available],,,,,,"Final",,Scopus,2-s2.0-0000741262
"Buikstra J.E., Milner G.R.","6701752370;7006680434;","Isotopic and archaeological interpretations of diet in the central mississippi valley",1991,"Journal of Archaeological Science","18","3",,"319","329",,69,"10.1016/0305-4403(91)90068-Z","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0025995786&doi=10.1016%2f0305-4403%2891%2990068-Z&partnerID=40&md5=badc61d7844761f82460ec6fe5ef5e05","This study will compare archaeological and isotopic characterizations of diet, specifically the role of maize, for Woodland, Mississippian, and Oneota populations from the North American midcontinent. Archaeological interpretations have tended to associate maize dependence with the rise of major centres, such as Cahokia. These models, based upon volume and ubiquity of maize in village site middens and features, frequently contrast the key role of maize in regional centres with the situation in smaller, remote communities. Mississippian inhabitants of frontier villages, for instances, are assumed to be less maize-dependent than their counterparts in larger and more complex communities. Recent analyses of stable carbon isotope ratios have, however, called into question standard archaeological interpretations. A series of δ13C values that characterize the period of agricultural intensification in the central Mississippi and Illinois river valleys identifies significant maize dependence at locations some distance from Cahokia during its period of major regional influence. Time transgressive trends apparent in maize ubiquity for the Cahokia region also stand in contrast to those seen in diachronic sequences of δ13C values. In this paper, we present newly generated δ13C values for five sites from the central Mississippi and Illinois river regions. Archaeological and isotopic evidence for maize-dependence is evaluated for biases that may underlie the seeming contradictory diachronic and synchronic patterning evident in the two data sets. © 1991.","Cahokia; Carbon Isotopes; Diet; Late Woodland; Maize; Mississippian","archaeological evidence; carbon dating; dietary analysis; isotopic interpretation; maize dependence; USA, Mississippi Valley",,,Article,"Final",,Scopus,2-s2.0-0025995786
"Lynott M.J., Boutton T.W., Price J.E., Nelson D.E.","14320390600;57214846559;55456790000;56852678500;","Stable Carbon Isotopic Evidence for Maize Agriculture in Southeast Missouri and Northeast Arkansas",1986,"American Antiquity","51","1",,"51","65",,64,"10.2307/280393","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0001889370&doi=10.2307%2f280393&partnerID=40&md5=a70faec8b2467678c2cdb15fe15fe479","Analysis of bone collagen extracted from human skeletal remains from archaeological sites dating from the Archaic period through Euro-American settlement provides evidence for the introduction of maize into regional subsistence patterns. Stable carbon isotope ratios of samples from both the eastern Ozarks and the Mississippi River alluvial valley indicate that human populations living prior to ca. A.D. 1000 consumed little or no C4 plant material. In populations dating after ca. A.D. 1000, stable carbon isotope ratios indicate that maize represented a significant part of the human diet throughout the region. The change in dietary patterns coincides with a shift in settlement patterns from dispersed hamlets and small villages to civic-ceremonial centers with associated villages, hamlets, and farmsteads. This isotopic evidence indicates that Emergent Mississippian diets did not include substantial quantities of maize or other C4 plant material. © The Society for American Archaeology 1986.",,,,,Review,"Final",,Scopus,2-s2.0-0001889370
