Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Abstract,Author Keywords,Index Keywords,Funding Details,Funding Text 1,Document Type,Publication Stage,Access Type,Source,EID
"Mitteroecker P., Gunz P.","6507135382;6506472733;","Advances in Geometric morphometrics",2009,"Evolutionary Biology","36","2",,"235","247",,576,"10.1007/s11692-009-9055-x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-69449097227&doi=10.1007%2fs11692-009-9055-x&partnerID=40&md5=b3ed371cd9636aa0a4ab33d0e92745b7","Geometric morphometrics is the statistical analysis of form based on Cartesian landmark coordinates. After separating shape from overall size, position, and orientation of the landmark configurations, the resulting Procrustes shape coordinates can be used for statistical analysis. Kendall shape space, the mathematical space induced by the shape coordinates, is a metric space that can be approximated locally by a Euclidean tangent space. Thus, notions of distance (similarity) between shapes or of the length and direction of developmental and evolutionary trajectories can be meaningfully assessed in this space. Results of statistical techniques that preserve these convenient properties-such as principal component analysis, multivariate regression, or partial least squares analysis-can be visualized as actual shapes or shape deformations. The Procrustes distance between a shape and its relabeled reflection is a measure of bilateral asymmetry. Shape space can be extended to form space by augmenting the shape coordinates with the natural logarithm of Centroid Size, a measure of size in geometric morphometrics that is uncorrelated with shape for small isotropic landmark variation. The thin-plate spline interpolation function is the standard tool to compute deformation grids and 3D visualizations. It is also central to the estimation of missing landmarks and to the semilandmark algorithm, which permits to include outlines and surfaces in geometric morphometric analysis. The powerful visualization tools of geometric morphometrics and the typically large amount of shape variables give rise to a specific exploratory style of analysis, allowing the identification and quantification of previously unknown shape features. © The Author(s) 2009.","Asymmetry; Form space; Kendall shape space; Procrustes; Semilandmarks; Thin-plate spline",,"MRTN-CT-2005-019564","Acknowledgements We are grateful to Simon Huttegger, Astrid Jütte, and Matthew Skinner for valuable comments on the manuscript and thank Fred Bookstein, Dennis Slice, and Jim Rohlf for discussion. Supported by grant GZ 200.033/1-VI/I/2004 of the Austrian Council for Science and Technology, EU FP6 Marie Curie Research Training Network MRTN-CT-2005-019564, and a fellowship from the Konrad Lorenz Institute for Evolution and Cognition Research.",Article,"Final",Open Access,Scopus,2-s2.0-69449097227
"Rohlf F.J.","7003281107;","Shape statistics: Procrustes superimpositions and tangent spaces",1999,"Journal of Classification","16","2",,"197","223",,537,"10.1007/s003579900054","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0033235691&doi=10.1007%2fs003579900054&partnerID=40&md5=afe1b218ad4917ce57cf2dee9936bc68","The shape of a set of labeled points corresponds to those attributes of the configuration that are invariant to the effects of translation, rotation, and scale. Procrustes distance may be used to compare different shapes and also serve as a metric that may be used to define multidimensional shape spaces. This paper demonstrates that the preshape space of planar triangles Procrustes aligned to a reference triangle corresponds to a unit hemisphere. An overview of methods used as linear approximations of D. G. Kendall's non-Euclidean shape space is given, and the equivalence of several methods based on orthogonal projections is shown. Some problems with approximations based on stereographic projections are also discussed. A simple example using artificial data is included.","Kendall shape space; Multivariate analysis; Partial warps; Preshape space; Tangent space",,,,Article,"Final",,Scopus,2-s2.0-0033235691
"Costin C.L.","","Craft specialization: Issues in defining, documenting, and explaining the organization of production",1991,"Archaeological Method and Theory","3",,,"1","56",,534,,,[No abstract available],,,,,,,,Scopus,2-s2.0-0001786936
"Klingenberg C.P., Mcintyre G.S.","7004588456;35986368100;","Geometric morphometrics of developmental instability: Analyzing patterns of fluctuating asymmetry with procrustes methods",1998,"Evolution","52","5",,"1363","1375",,528,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0031731745&partnerID=40&md5=202811c3657ad23cd9c9ad40ed2eaf82","Although fluctuating asymmetry has become popular as a measure of developmental instability, few studies have examined its developmental basis. We propose an approach to investigate the role of development for morphological asymmetry by means of morphometric methods. Our approach combines geometric morphometrics with the two-way ANOVA customary for conventional analyses of fluctuating asymmetry and can discover localized features of shape variation by examining the patterns of covariance among landmarks This approach extends the notion of form used in studies of fluctuating asymmetry from collections of distances between morphological landmarks to an explicitly geometric concept of shape characterized by the configuration of landmarks. We demonstrate this approach with a study of asymmetry in the wings of tsetse files (Glossina palpalis gambiensis). The analysis revealed significant fluctuating and directional asymmetry for shape as well as ample shape variation among individuals and between the offspring of young and old females. The morphological landmarks differed markedly in their degree of variability, but multivariate patterns of landmark covariation identified by principal component analysis were generally similar between fluctuating asymmetry (within-individual variability) and variation among individuals. Therefore, there is no evidence that special developmental processes control fluctuating asymmetry. We relate some of the morphometric patterns to processes known to be involved in the development of fly wings.","Developmental stability; Fluctuating asymmetry; Geometric morphometrics; Glossina palpalis; Procrustes analysis; Shape; Tsetse flies; Wing veins","developmental biology; fluctuating asymmetry; instability; methodology; morphometry; Diptera; Glossina palpalis; Glossinidae",,,Article,"Final",,Scopus,2-s2.0-0031731745
"Rohlf F.J., Corti M.","7003281107;56232198800;","Use of two-block partial least-squares to study covariation in shape",2000,"Systematic Biology","49","4",,"740","753",,459,"10.1080/106351500750049806","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0034351393&doi=10.1080%2f106351500750049806&partnerID=40&md5=f5aaf8597bd3c13104f1b4468125b0ee","The relatively new two-block partial least-squares method for analyzing the covariance between two sets of variables is described and contrasted with the well-known method of canonical correlation analysis. Their statistical properties, types of answers, and visualization techniques are discussed. Examples are given to show its usefulness in comparing two sets of variables - especially when one or both of the sets of variables are shape variables from a geometric morphometric study.","Canonical correlation; Covariance; Morphometrics; Mus musculus domesticus; Partial least squares; Plethodon; Visualization","analysis of variance; animal; article; bone; classification; fibula; genetics; histology; humerus; mouse; regression analysis; skull; tibia; ulna; Analysis of Variance; Animals; Bone and Bones; Fibula; Humerus; Least-Squares Analysis; Mice; Skull; Tibia; Ulna",,,Article,"Final",Open Access,Scopus,2-s2.0-0034351393
"Adams D.C., Rohlf F.J., Slice D.E.","7404054540;7003281107;6603334019;","A field comes of age: Geometric morphometrics in the 21st century",2013,"Hystrix","24","1",,"","",,306,"10.4404/hystrix-24.1-6283","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84875767161&doi=10.4404%2fhystrix-24.1-6283&partnerID=40&md5=4749c949d41fa0fce54c2e237c53f71c","Twenty years ago, Rohlf and Marcus proclaimed that a ""revolution in morphometrics"" was underway, where classic analyses based on sets of linear distances were being supplanted by geometric approaches making use of the coordinates of anatomical landmarks. Since that time the field of geometric morphometrics has matured into a rich and cohesive discipline for the study of shape variation and covariation. The development of the field is identified with the Procrustes paradigm, a methodological approach to shape analysis arising from the intersection of the statistical shape theory and analytical procedures for obtaining shape variables from landmark data. In this review we describe the Procrustes paradigm and the current methodological toolkit of geometric morphometrics. We highlight some of the theoretical advances that have occurred over the past ten years since our prior review (Adams et al., 2004), what types of anatomical structures are amenable to these approaches, and how they extend the reach of geometric morphometrics to more specialized applications for addressing particular biological hypotheses. We end with a discussion of some possible areas that are fertile ground for future development in the field. © 2013 Associazione Teriologica Italiana.","Morphology; Procrustes analysis; Shape analysis; Statistics",,,,Article,"Final",,Scopus,2-s2.0-84875767161
"Bookstein F.L., Gunz P., Mittercker P., Prossinger H., Schæfer K., Seidler H.","7004606384;6506472733;6504786305;6701769032;7201525302;7004117563;","Cranial integration in Homo: Singular warps analysis of the midsagittal plane in ontogeny and evolution",2003,"Journal of Human Evolution","44","2",,"167","187",,251,"10.1016/S0047-2484(02)00201-4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0037307376&doi=10.1016%2fS0047-2484%2802%2900201-4&partnerID=40&md5=fb615501d9d1e255562d15c036ac28c7","This study addresses some enduring issues of ontogenetic and evolutionary integration in the form of the hominid cranium. Our sample consists of 38 crania: 20 modern adult Homo sapiens, 14 subadult H. sapiens, and four archaic Homo. All specimens were CT-scanned except for two infant H, sapiens, who were imaged by MR instead. For each specimen 84 landmarks and semilandmarks were located on the midsagittal plane and converted to Procrustes shape coordinates. Integration was quantified by the method of singular warps, a new geometric-statistical approach to visualizing correlations among regions. The two classic patterns of integration, evolutionary and ontogenetic, were jointly explored by comparing analyses of overlapping subsamples that span ranges of different hypothetical factors. Evolutionary integration is expressed in the subsample of 24 adult Homo, and ontogenetic integration in the subsample of 34 H. sapiens. In this data set, vault, cranial base, and face show striking and localized patterns of covariation over ontogeny, similar but not identical to the patterns seen over evolution. The principal differences between ontogeny and phylogeny pertain to the cranial base. There is also a component of cranial to height ratio not reducible to either process. Our methodology allows a separation of these independent processes (and their impact on cranial shape) that conventional methods have not found. © 2003 Elsevier Science Ltd. All rights reserved.","Cranial integration; Geometric morphometrics; Human ontogeny; Human phylogeny; Relative warps; Singular warps","cranium; evolutionary biology; ontogeny; Crania; Hominidae; Homo; Homo sapiens; Homo sapiens; Procrustes","Bundesministerium fÃ¼r Bildung, Wissenschaft und Forschung, BMBWF

GZ 200.049/3-VI/I/2001","We thank the curators of the fossil Homo crania, the subadult H. sapiens crania, and the adult H. sapiens crania for permission to CT-scan them. Likewise we thank Wolfgang Recheis (Dept. of Radiology II, University Hospital Innsbruck, Austria) for CT-scanning support and Gerhard Weber (Institute for Anthropology, University of Vienna, Austria) for the installation and management of the digital database. We also thankIngeborg Hirsch, Christine Unteregger andBarbara Wimmer for help with the data collection and Bence Viola and Dennis Slice for valuable discussions. This paper benefited greatly from the critical comments of three anonymous reviewers. This research is supported by the Austrian Federal Ministry of Education, Science and Culture and the Austrian Council for Science and Technology, Project Number: GZ 200.049/3-VI/I/2001.",Article,"Final",,Scopus,2-s2.0-0037307376
"Mardia K.V., Bookstein F.L., Moreton I.J.","7004094586;7004606384;8245052500;","Statistical assessment of bilateral symmetry of shapes",2000,"Biometrika","87","2",,"285","300",,237,"10.1093/biomet/87.2.285","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0001059927&doi=10.1093%2fbiomet%2f87.2.285&partnerID=40&md5=5a9431faa735d608d7927e5a8136a4e7","This paper formulates the problem of measuring bilateral symmetry of objects analytically for landmark data, and develops various new testing procedures and exploratory data analyses. The development is linked with the fundamental biological problem of measuring directional asymmetry and fluctuating asymmetry. We distinguish two types of symmetry, object symmetry and matching symmetry, and provide tests under assumptions of isotropic landmark variability as well as non-isotropy. The tests require novel statistical and geometrical analyses of the Procrustes shape manifold. For describing components of symmetry and asymmetry within samples, an extension of principal component analysis is introduced and illustrated by appropriate deformation techniques. Various real examples are used to illustrate the practical relevance of this work. © 2000 Biometrika Trust.","Directional asymmetry; Fluctuating asymmetry; Kendall shape space; Matching symmetry; Object symmetry; Permutation test; Procrustes analysis",,,,Article,"Final",,Scopus,2-s2.0-0001059927
"Slice D.E.","6603334019;","Landmark coordinates aligned by procrustes analysis do not lie in Kendall's shape space",2001,"Systematic Biology","50","1",,"141","149",,158,"10.1080/10635150119110","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0035527386&doi=10.1080%2f10635150119110&partnerID=40&md5=c92c7d8f58fd16db92464fa4f3a2b3cc",[No abstract available],,"article; biometry; ecology; evolution; mathematics; phylogeny; Biometry; Ecology; Evolution; Mathematics; Phylogeny",,"ACKNOWLEDGMENTS The comments of F. Jmaes Rof ahdnDl nCea. Adams are gratey acknofuwlleled.dSugggeoss mtnadie by the three reves iaremrwtaoepascp.tiSperadleci thanks to Andrea B. Taylor for pdringothe ivmageiŽles from which the scula adatapwere obitn.aThies wordk was supported by grants BI3R240an-d IB9N52-6008917 from the Naiotal Sciencne Foundiao. Thitsnpprais econ-troin nob. 10u0 fro7tm thie Grate Sdtueus indEaoigcy ol and Evio, oSttnealUnuivtey ofrNewsYoiktatrStony Brook.",Article,"Final",Open Access,Scopus,2-s2.0-0035527386
"Adams D.C., Collyer M.L.","7404054540;57074630100;","A general framework for the analysis of phenotypic trajectories in evolutionary studies",2009,"Evolution","63","5",,"1143","1154",,144,"10.1111/j.1558-5646.2009.00649.x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-64749098726&doi=10.1111%2fj.1558-5646.2009.00649.x&partnerID=40&md5=4f47ba6c618b8608ac095e1207595527","Many evolutionary studies require an understanding of phenotypic change. However, while analyses of phenotypic variation across pairs of evolutionary levels (populations or time steps) are well established, methods for testing hypotheses that compare evolutionary sequences across multiple levels are less developed. Here we describe a general analytical procedure for quantifying and comparing patterns of phenotypic evolution. The phenotypic evolution of a lineage is defined as a trajectory across a set of evolutionary levels in a multivariate phenotype space. Attributes of these trajectories (their size, direction, and shape), are quantified, and statistically compared across pairs of taxa, and a summary statistic is used to determine the extent to which patterns of phenotypic evolution are concordant across multiple taxa. This approach provides a direct quantitative description of how patterns of phenotypic evolution differ, as well as a statistical assessment of the degree of repeatability in the evolutionary responses to selection among taxa. We describe how this approach can quantify phenotypic trajectories from many ecological and evolutionary processes, whose data encode multivariate characterizations of the phenotype, including: phenotypic plasticity, ecological selection, ontogeny and growth, local adaptation, and biomechanics. We illustrate the approach by examining the phenotypic evolution of several fossil lineages of Globorotalia. © 2009 The Society for the Study of Evolution.","Adaptive diversification; Morphological evolution; Ontogeny; Phenotypic change; Phenotypic plasticity; Residual randomization","adaptation; evolution; hypothesis testing; phenotypic plasticity; selection; statistical analysis; adaptation; animal; article; biological model; ecology; evolution; fossil; genetic variability; phenotype; phylogeny; species differentiation; Adaptation, Physiological; Animals; Ecology; Evolution; Fossils; Genetic Speciation; Genetic Variation; Models, Genetic; Phenotype; Phylogeny; Globorotalia",,,Article,"Final",,Scopus,2-s2.0-64749098726
"Costin C.L.","25030166400;","Craft production systems",2007,"Archaeology at the Millennium: A Sourcebook",,,,"273","327",,136,"10.1007/978-0-387-72611-3_8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84885698637&doi=10.1007%2f978-0-387-72611-3_8&partnerID=40&md5=dc9ec94da5c85bb27cfb44005331096a","In the past two decades, the study of craft production has emerged as a major focus of archaeological research, integrating interests in technology, material culture, daily activities, ecology, economic organization, political economy, and exchange. There have been advances on all fronts of the inquiry: definition of the concepts and questions addressed, development of analytic techniques, statement of epistemology and theory, and presentation of a wealth of data from substantive case studies (compare Tringham, 1996:234; e.g., Bey and Pool, 1992; Brumfiel and Earle, 1987b; Clark and Parry, 1990; Costin, 1991; Costin and Wright, 1998; Dobres and Hoffman, 1994; Mills and Crown, 1995; Peregrine, 1991b; Wailes, 1996). © 2007 Springer-Verlag US.",,,,,Book Chapter,"Final",,Scopus,2-s2.0-84885698637
"Collyer M.L., Sekora D.J., Adams D.C.","57074630100;56394605800;7404054540;","A method for analysis of phenotypic change for phenotypes described by high-dimensional data",2015,"Heredity","115","4",,"357","365",,129,"10.1038/hdy.2014.75","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84924570789&doi=10.1038%2fhdy.2014.75&partnerID=40&md5=009a366beaf9457b7664e6c595ac093a","The analysis of phenotypic change is important for several evolutionary biology disciplines, including phenotypic plasticity, evolutionary developmental biology, morphological evolution, physiological evolution, evolutionary ecology and behavioral evolution. It is common for researchers in these disciplines to work with multivariate phenotypic data. When phenotypic variables exceed the number of research subjects - data called 'high-dimensional data' - researchers are confronted with analytical challenges. Parametric tests that require high observation to variable ratios present a paradox for researchers, as eliminating variables potentially reduces effect sizes for comparative analyses, yet test statistics require more observations than variables. This problem is exacerbated with data that describe 'multidimensional' phenotypes, whereby a description of phenotype requires high-dimensional data. For example, landmark-based geometric morphometric data use the Cartesian coordinates of (potentially) many anatomical landmarks to describe organismal shape. Collectively such shape variables describe organism shape, although the analysis of each variable, independently, offers little benefit for addressing biological questions. Here we present a nonparametric method of evaluating effect size that is not constrained by the number of phenotypic variables, and motivate its use with example analyses of phenotypic change using geometric morphometric data. Our examples contrast different characterizations of body shape for a desert fish species, associated with measuring and comparing sexual dimorphism between two populations. We demonstrate that using more phenotypic variables can increase effect sizes, and allow for stronger inferences. © 2015 Macmillan Publishers Limited.",,"developmental biology; evolutionary biology; geometry; morphometry; phenotype; phenotypic plasticity; sexual dimorphism; theoretical study; anatomy and histology; animal; biological model; evolution; female; genetics; killifish; male; nonparametric test; phenotype; sexual development; Animals; Biological Evolution; Female; Killifishes; Male; Models, Biological; Phenotype; Sex Characteristics; Statistics, Nonparametric","DBI 1004665

Western Kentucky University, WKU: 12-8032

National Science Foundation, NSF: DEB-1257287

Stephen F. Austin State University, SFA","This research was supported by a Western Kentucky University Research and Creative Activities Program award (no. 12-8032) to MLC, an NSF REU (DBI 1004665) grant-funded research experience to DJS and NSF grant DEB-1257287 to DCA. Photographs of fish specimens were collected from the Museum of Southwestern Biology, University of New Mexico, Albuquerque, NM. We thank A Snyder and T Turner for access to museum specimens and support in data collection. Samples were collected from lots MSB 49238 and MSB 43612. Acquisition of photographs was made possible with funding from a Faculty Research Grant from Stephen F Austin State University to MLC. We thank M Smith, M Hall and M Ernst for assistance in digitizing photographs.",Article,"Final",Open Access,Scopus,2-s2.0-84924570789
"Klingenberg C.P.","7004588456;","Visualizations in geometric morphometrics: How to read and how to make graphs showing shape changes",2013,"Hystrix","24","1",,"","",,129,"10.4404/hystrix-24.1-7691","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84877812046&doi=10.4404%2fhystrix-24.1-7691&partnerID=40&md5=c5c04aad938920bb19ea351a4b19e70e","An important aspect of geometric morphometrics, since its beginnings, has been the visualization of shape changes. A range of methods has been developed with advances in the theory of statistical shape analysis and new possibilities in computer graphics. Most approaches are based either on relative shifts of landmark positions in starting and target shapes after superimposition or on D'Arcy Thompson's idea of transformation grids. Both approaches are in wide use in current morphometrics, and both have their distinctive advantages and shortcomings. This paper discusses the assumptions and some caveats of both approaches. The paper also offers some recommendations for authors of geometric morphometric studies. © 2013 Associazione Teriologica Italiana.","Geometric morphometrics; Landmarks; Procrustes superimposition; Thin-plate spline; Transformation grids; Warping",,,,Article,"Final",,Scopus,2-s2.0-84877812046
"Costin C.L., Hagstrum M.B.","25030166400;14419829100;","Standardization, Labor Investment, Skill, and the Organization of Ceramic Production in Late Prehispanic Highland Peru",1995,"American Antiquity","60","4",,"597","618",,125,"10.2307/282046","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85057773891&doi=10.2307%2f282046&partnerID=40&md5=768a615b4b8e92225b5463dbb1357138","Specialization encompasses many ways to organize craft production, ranging from small, household-based work units to large workshops. Distinctive types of specialization develop in response to various social, economic, and environmental factors, including the demand for crafts, the social relations of producers, and the support base for artisans. These factors in turn influence manufacturing technology. Thus, different types of specialization can be characterized by a technological profile, which reflects relative labor investment, skill, and standardization. An analysis of Prehispanic ceramic technology in the central sierra of Peru demonstrates how these technological profiles can be used to identify the ways ceramic production was organized to provision consumers with utilitarian and luxury pottery. As we demonstrate in our analysis of pottery recovered in the Yanamarca Valley, utilitarian Wanka-style cookwares and storage jars were produced by independent household-based artisans, while imperial Inka-style jars were produced by locally recruited corvee labor working for the state. Copyright © The Society for American Archaeology 1995.",,,,,Article,"Final",,Scopus,2-s2.0-85057773891
