Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Abstract,Author Keywords,Index Keywords,Funding Details,Document Type,Publication Stage,Access Type,Source,EID
"Perino G.","","The Dan Holdeman Site (41RR11), Red River County, Texas",1995,"Journal of Northeast Texas Archaeology","6",,,"3","65",,11,,,[No abstract available],,,,,"Final",,Scopus,2-s2.0-8344239421
"Johnson J.K., Haley B.S.","","A cost-benefit analysis of remote sensing application in cultural resource management archaeology",2006,"Remote Sensing in Archaeology: An Explicitly North American Perspective",,,,"33","46",,10,,,[No abstract available],,,,,"Final",,Scopus,2-s2.0-34548084957
"Lockhart J.J.","",[No title available],2007,"Prehistoric Caddo of Arkansas: A Multiscalar Examination of Past Cultural Landscapes",,,,"","",,8,,,[No abstract available],,,,,"Final",,Scopus,2-s2.0-49349093706
"Williams, Ishmael Jr. G.","","Features and Dating",1993,"Research Series","43",,,"37","48",,8,,,[No abstract available],,,,,"Final",,Scopus,2-s2.0-31344475294
"McKinnon D.P.","",[No title available],2008,"An Archaeogeophysical Analysis of Central Caddo Settlement Patterning at Battle Mound (3LA1)",,,,"","",,7,,,[No abstract available],,,,,"Final",,Scopus,2-s2.0-69549142061
"Walters M., Haskins P.","","Archaeological Investigations at the Redwine Site (41SM193), Smith County, Texas",1998,"Journal of Northeast Texas Archaeology","11",,,"1","38",,7,,,[No abstract available],,,,,"Final",,Scopus,2-s2.0-69549145998
"Early A.M.","",[No title available],1988,"Standridge: Caddoan Settlement in a Mountain Environment",,,,"","",,7,,,[No abstract available],,,,,"Final",,Scopus,2-s2.0-1542395177
"Osburn T., Bruseth J., Pierson W.","","Magnetometer Investigations at the George C. Davis Site, a Prehistoric Caddo Village",2008,"Bulletin of the Texas Archeological Society","79",,,"191","200",,6,,,[No abstract available],,,,,"Final",,Scopus,2-s2.0-77649295102
"Walker C.P., Perttula T.K.","","Geophysical investigations on Caddo sites in East Texas and surrounding states",2008,"Bulletin of the Texas Archeological Society","79",,,"159","176",,6,,,[No abstract available],,,,,"Final",,Scopus,2-s2.0-77649324051
"Walters M., Haskins P.","","The Bryan Hardy Site (41SM55), Smith County, Texas",2000,"Journal of Northeast Texas Archaeology","12",,,"1","26",,6,,,[No abstract available],,,,,"Final",,Scopus,2-s2.0-33847710009
"Jelks E.B., Tunnell C.D.","","The Harroun Site, A Fulton Aspect Component of the Caddoan Area, Upshur County, Texas",1959,"Archaeology Series",,,,"","",,6,,,[No abstract available],,,,,"Final",,Scopus,2-s2.0-84899330052
"Walker C.P., Perttula T.K.","","Remote Sensing at the Horace Cabe Site (41BW14)",2007,"Caddo Archaeology Journal","16",,,"37","44",,5,,,[No abstract available],,,,,"Final",,Scopus,2-s2.0-49349101555
"Guccione M.J.","","Variations of the Red River Channel in Southwest Arkansas",1984,"Cedar Grove: An Interdisciplinary Investigation of a Late Caddo Farmstead in the Red River Valley",,,,"17","25",,4,,,[No abstract available],,,,,,,Scopus,2-s2.0-2842565537
"Fulton R.L., Webb C.H.","","The Bellevue Mound: A Pre-Caddoan Site, Bossier Parish, Louisiana",1953,"Bulletin of the Texas Archeological Society","24",,,"18","24",,4,,,[No abstract available],,,,,"Final",,Scopus,2-s2.0-77649297557
[No author name available],[No author id available],"Two Caddoan Farmsteads in the Red River Valley: The Archeology of the McLelland and Joe Clark Sites",1997,"Research Series","51",,,"","",,3,,,[No abstract available],,,,,"Final",,Scopus,2-s2.0-43749099713
"Davis E.M., Gipson J.R.","",[No title available],1960,"The Dalton Site: A Late Caddoan Mound Site in the Ferrell's Bridge Reservoir Area, Northeastern Texas",,,,"","",,3,,,[No abstract available],,,,,"Final",,Scopus,2-s2.0-84900897065
"Beyer G.E.","","The Mounds of Louisiana",2019,"Publications of the Louisiana Historical Society","2",,,"7","27",,2,,,[No abstract available],,,,,"Final",,Scopus,2-s2.0-77649312474
"Bohannon C.F.","","Excavations at the Mineral Springs Site, Howard County, Arkansas",1973,"Research Series","5",,,"","",,2,,,[No abstract available],,,,,"Final",,Scopus,2-s2.0-77649283439
[No author name available],[No author id available],[No title available],2010,,,,,"","",,1,,,[No abstract available],,,,,"Final",,Scopus,2-s2.0-77649329726
[No author name available],[No author id available],[No title available],2010,,,,,"","",,1,,,[No abstract available],,,,,"Final",,Scopus,2-s2.0-77649328016
[No author name available],[No author id available],[No title available],2010,,,,,"","",,1,,,[No abstract available],,,,,"Final",,Scopus,2-s2.0-77649326477
[No author name available],[No author id available],[No title available],2010,,,,,"","",,1,,,[No abstract available],,,,,"Final",,Scopus,2-s2.0-77649325556
[No author name available],[No author id available],[No title available],2010,,,,,"","",,1,,,[No abstract available],,,,,"Final",,Scopus,2-s2.0-77649324696
[No author name available],[No author id available],[No title available],2010,,,,,"","",,1,,,[No abstract available],,,,,"Final",,Scopus,2-s2.0-77649316879
[No author name available],[No author id available],[No title available],2010,,,,,"","",,1,,,[No abstract available],,,,,"Final",,Scopus,2-s2.0-77649313737
[No author name available],[No author id available],[No title available],2010,,,,,"","",,1,,,[No abstract available],,,,,"Final",,Scopus,2-s2.0-77649301642
[No author name available],[No author id available],[No title available],2010,,,,,"","",,1,,,[No abstract available],,,,,"Final",,Scopus,2-s2.0-77649295733
[No author name available],[No author id available],[No title available],2010,,,,,"","",,1,,,[No abstract available],,,,,"Final",,Scopus,2-s2.0-77649285700
[No author name available],[No author id available],[No title available],2010,,,,,"","",,1,,,[No abstract available],,,,,"Final",,Scopus,2-s2.0-77649284045
[No author name available],[No author id available],[No title available],2010,,,,,"","",,1,,,[No abstract available],,,,,"Final",,Scopus,2-s2.0-77649281801
[No author name available],[No author id available],[No title available],2010,,,,,"","",,1,,,[No abstract available],,,,,"Final",,Scopus,2-s2.0-77649279076
"Trubowitz N.L.","","Aboriginal Settlement",1984,"Research Series","23",,,"83","96",,1,,,[No abstract available],,,,,"Final",,Scopus,2-s2.0-77649311225
"Kitchens H., Kitchens D.","","Original unpublished field notes from Battle Mound (3LA1)",1968,"Manuscripts on file",,,,"","",,1,,,[No abstract available],,,,,"Final",,Scopus,2-s2.0-77649323126
"Krieger A.D.","","Viking Fund Grant for Battle Mound Excavations, Lafayette County, Arkansas",1949,"A Report of Activities and Expenditures as of January",,,,"","",,1,,,[No abstract available],,,,,"Final",,Scopus,2-s2.0-77649297556
"Taylor H.C., Krieger A.D.","","An Archaeological Survey of the Mounds of the Red River from De Kalb, Texas to Ida, Louisiana",1949,"Manuscript on file",,,,"","",,1,,,[No abstract available],,,,,"Final",,Scopus,2-s2.0-77649280557
