Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Abstract,Author Keywords,Index Keywords,Funding Details,Funding Text 1,Document Type,Publication Stage,Access Type,Source,EID
"Spalt K.W., Reifsnyder W.E.","","Bark characteristics and fire resistance: A literature survey",1962,"Bark Characteristics and Fire Resistance: A Literature Survey",,,,"","",,21,,,[No abstract available],,,,,,"Final",,Scopus,2-s2.0-3042988887
"Pokorný P., Kuneš P.","","Holocene acidification process recorded in three pollen profiles from Czech sandstone and river terrace environments",2005,"Ferrantia","44",,,"101","107",,20,,,[No abstract available],,,,,,"Final",,Scopus,2-s2.0-34447536788
"Dull R.A.","","The maize revolution: A view from El Salvador",2006,"Histories of Maize",,,,"357","365",,14,,,[No abstract available],,,,,,"Final",,Scopus,2-s2.0-44149123093
"Perttula T.K.","6508386711;","Caddo agriculture on the western frontier of the eastern Woodlands",2008,"Plains Anthropologist","53","205",,"79","105",,11,"10.1179/pan.2008.006","https://www.scopus.com/inward/record.uri?eid=2-s2.0-43749120948&doi=10.1179%2fpan.2008.006&partnerID=40&md5=866130e1d2e89ab3b92eef5c4bfe403d","Tropical cultigens were adopted and used by the Caddo peoples and their ancestors beginning perhaps 2,000-2,500 years ago on the western frontier of the eastern Woodlands. These cultigens were not adopted as an agricultural package, but came to the Caddo at different times and places, first being squash (ca. 2000-2500 B.P.), then maize (several varieties, ca. 1150 B.P.), and last beans (ca. 650-700 B.P.). Oily and starchy seeds appear to have comprised only a minor aspect of Woodland or Caddo subsistence pursuits in this region. A Caddo diet more dependent on domesticated plants is documented in the archaeological record only after ca. 650 B.P. With intensification, lands were abandoned along the western Caddo reaches while complex Caddo political communities developed in others.",,,,,Article,"Final",,Scopus,2-s2.0-43749120948
"Albert B.M.","55955198900;","Climate, fire, and land-use history in the oak-pine-hickory forests of Northeast Texas during the past 3500 years",2007,"Castanea","72","2",,"82","91",,9,"10.2179/0008-7475(2007)72[82:CFALHI]2.0.CO;2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77649236497&doi=10.2179%2f0008-7475%282007%2972%5b82%3aCFALHI%5d2.0.CO%3b2&partnerID=40&md5=50a318889b027733a854edebd2a1a1d4","Analyses of a palaeo-channel deposit in the valley of Big Sandy Creek in northeast Texas indicate that well preserved pollen of primary origin is encountered in high concentrations. Stratigraphic pollen data derived are employed towards a reconstruction of the history of the regional pine-hardwood forest from 3500 cal. BP until present. This bio-stratigraphic sequence demonstrates that the valley has remained almost completely under forest canopy during the Middle and Late Holocene, when it is comprised of a mixture of oak, pine, and hickory. During the past 3500 yrs, the relative importance of these taxa has also varied due to drought and fire. In this respect, a differential (riparian) representation by moisture-sensitive river birch in the pollen sequence strongly suggests that periodic droughts in the valley have caused a secular variation in fire frequency and magnitude. Finally, during the past 800 yrs (Caddo period), the first significant grasslands and forbs emerge in forest clearings. The latter emergent formations are of possible anthropogenic origin after pollen data. © Southern Appalachian Botanical Society.",,"Betula nigra; Carya",,,Article,"Final",,Scopus,2-s2.0-77649236497
"Eubanks M.","","Reevaluation of the identification of ancient maize pollen from Alabama",1997,"American Antiquity","62","1",,"139","145",,8,,,[No abstract available],,,,,,"Final",,Scopus,2-s2.0-32244432405
"Schambach F.F.","","Fourche maline and its neighbors: Observations on an important woodland period culture of the trans-Mississippi South",2001,"Arkansas Archeologist","40",,,"21","50",,5,,,[No abstract available],,,,,,,,Scopus,2-s2.0-4344699526
"Coffee D.R.","",[No title available],1975,"Soil survey of Anderson County, Texas",,,,"","",,4,,,[No abstract available],,,,,,,,Scopus,2-s2.0-0009998354
"Tharp B.C.","",[No title available],1926,"Structure of Texas vegetation east of the 98th meridian",,,,"","",,2,,,[No abstract available],,,,,,,,Scopus,2-s2.0-0004789895
"Jurney D., Stahle D.W.","",[No title available],2004,"Old-growth Wooded Pasture in the Ozarks.",,,,"42","52",,1,,,[No abstract available],,,,,,"Final",,Scopus,2-s2.0-79960523026
"Goldborer S.E., Perttula T.K.","",[No title available],1999,"Macro-botanical Remains from A Northeast Texas Late Archaic to Middle Caddoan Site: Hurricane Hill (41HP106), Hopkins County.",,,,"365","382",,1,,,[No abstract available],,,,,,"Final",,Scopus,2-s2.0-79960481731
"Dering J.P.","",[No title available],1994,"Analysis of the Plant Remains",,,,"162","171",,1,,,[No abstract available],,,,,,"Final",,Scopus,2-s2.0-79960526475
"Brown D.O.","","Prehistoric subsistence strategies in northeastern central Texas",1988,"Bull. Texas Archeolog. Soc.","59",,,"201","244",,1,,,[No abstract available],,,,,,"Final",,Scopus,2-s2.0-79960479027
[No author name available],[No author id available],[No title available],1979,"Soil Survey of Henderson County, Texas",,,,"","",,1,,,[No abstract available],,,,,,"Final",,Scopus,2-s2.0-79960514722
