Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Abstract,Author Keywords,Index Keywords,Funding Details,Funding Text 1,Document Type,Publication Stage,Access Type,Source,EID
"Sirkin R.M.","",[No title available],1995,"Statistics for the Social Sciences",,,,"","",,159,,,[No abstract available],,,,,,"Final",,Scopus,2-s2.0-0003419252
"Surovell T.A., Brantingham P.J.","6508063129;15519359400;","A note on the use of temporal frequency distributions in studies of prehistoric demography",2007,"Journal of Archaeological Science","34","11",,"1868","1877",,156,"10.1016/j.jas.2007.01.003","https://www.scopus.com/inward/record.uri?eid=2-s2.0-34548770015&doi=10.1016%2fj.jas.2007.01.003&partnerID=40&md5=aae7d3aaa1c2d993cdc34935c9756b1f","Temporal frequency distributions of archaeological sites and radiocarbon dates are commonly used as proxies for prehistoric population levels based on the assumption that more people create a stronger archaeological signal. While this assumption is certainly correct, we question whether relative frequencies of sites or dates observed from prehistoric contexts are necessarily linked to human demography. In this paper, we demonstrate that the typical positive curvilinear frequency distributions observed in archaeological contexts also regularly occur in paleontological and geological contexts and are thus likely caused by the operation of time-dependent destructive processes, what we call ""taphonomic bias."" Using a simple model, which assumes a constant rate of site loss over time, we show how taphonomic bias can produce positive curvilinear frequency distributions through time even in cases of population stasis, decline, and fluctuation. We conclude that caution must be used when attempting to infer demographic trends from frequency distributions alone. © 2007 Elsevier Ltd. All rights reserved.","Bias; Frequency distributions; Prehistoric demography; Radiocarbon dating; Taphonomy","demography; paleontology; prehistoric; radiocarbon dating; taphonomy",,,Article,"Final",,Scopus,2-s2.0-34548770015
"Buck C.E., Litton C.D., Smith A.F.M.","7102927862;35576832200;7406761795;","Calibration of radiocarbon results pertaining to related archaeological events",1992,"Journal of Archaeological Science","19","5",,"497","512",,151,"10.1016/0305-4403(92)90025-X","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0027062045&doi=10.1016%2f0305-4403%2892%2990025-X&partnerID=40&md5=af6a08ede6330f616b993510d2f524dd","With the advent of the high precision radiocarbon calibration curve there is an increasing demand from archaeologists for results, previously reported on the radiocarbon scale, to be expressed on the calendar scale. Furthermore, there is a general realization within the archaeological community that much more information can be derived from radiocarbon dating if the samples are taken from coherent, well-chosen contexts and if any available substantive archaeological information is included in the data analysis. This paper describes how the Bayesian approach to statistical data analysis can be used for the calibration of groups of radiocarbon results in situations where archaeological information is available a priori about the relationships between the contexts being dated. Recent innovations in the implementation of the Bayesian paradigm are used and the methodology is illustrated by the analysis of data arising from two archaeological excavations. © 1992.","Bayesian Statistics; Gibbs Sampler; Radiocarbon Calibration","archaeological event; archaeology; Bayesian approach; Bayesian statistics; calendar scale; calibration curve; data analysis; Gibbs sampler; radiocarbon; radiocarbon dating",,"Acknowledgements The authors are grateful to Stuart Needham for making available to us the archaeological information and radiocarbon results from Runnymede Bridge. We also wish to thank David Stephens for initial discussions about the application of the Gibbs sampler methodology to this problem and James Kenworthy for invaluable comments on an earlier draft of the paper. The first named author is supported by the Complex Stochastic Systems Initiative of the SERC Mathematics Committee.",Article,"Final",,Scopus,2-s2.0-0027062045
"Bayliss A.","7005185835;","Rolling out revolution: Using radiocarbon dating in archaeology",2009,"Radiocarbon","51","1",,"123","147",,150,"10.1017/S0033822200033750","https://www.scopus.com/inward/record.uri?eid=2-s2.0-78049289193&doi=10.1017%2fS0033822200033750&partnerID=40&md5=570ddd45090043c5fd094e14bd6cc67b","Sixty years ago, the advent of radiocarbon dating rewrote archaeological chronologies around the world. Forty years ago, the advent of calibration signaled the death knell of the diffusionism that had been the mainstay of archaeological thought for a century. Since then, the revolution has continued, as the extent of calibration has been extended ever further back and as the range of material that can be dated has been expanded. Now a new revolution beckons, one that could allow archaeology to engage in historical debate and usher in an entirely new kind of (pre)history. This paper focuses on more than a decade of experience in utilizing Bayesian approaches routinely for the interpretation of 14C dates in English archaeology, discussing both the practicalities of implementing these methods and their potential for changing archaeological thinking. © 2009 by the Arizona Board of Regents on behalf of the University of Arizona.",,"archaeology; Bayesian analysis; calibration; carbon isotope; chronology; radiocarbon dating",,,Article,"Final",Open Access,Scopus,2-s2.0-78049289193
"Buchanan B., Collard M., Edinborough K.","11241802300;7102608373;24722595900;","Paleoindian demography and the extraterrestrial impact hypothesis",2008,"Proceedings of the National Academy of Sciences of the United States of America","105","33",,"11651","11654",,99,"10.1073/pnas.0803762105","https://www.scopus.com/inward/record.uri?eid=2-s2.0-50149089960&doi=10.1073%2fpnas.0803762105&partnerID=40&md5=207c3e97d65e3b85ef338e790d4fd498","Recently it has been suggested that one or more large extraterrestrial (ET) objects struck northern North America 12,900 ± 100 calendar years before present (calBP) [Firestone RB, et al. (2007) Proc Natl Acad Sci USA 104: 16016-16021]. This impact is claimed to have triggered the Younger Dryas major cooling event and resulted in the extinction of the North American megafauna. The impact is also claimed to have caused major cultural changes and population decline among the Paleoindians. Here, we report a study in which ≈1,500 radiocarbon dates from archaeological sites in Canada and the United States were used to test the hypothesis that the ET resulted in population decline among the Paleoindians. Following recent studies [e.g., Gamble C, Davies W, Pettitt P, Hazelwood L, Richards M (2005) Camb Archaeol J 15:193-223), the summed probability distribution of the calibrated dates was used to identify probable changes in human population size between 15,000 and 9,000 calBP. Subsequently, potential biases were evaluated by modeling and spatial analysis of the dated occupations. The results of the analyses were not consistent with the predictions of extraterrestrial impact hypothesis. No evidence of a population decline among the Paleoindians at 12,900 ± 100 calBP was found. Thus, minimally, the study suggests the extraterrestrial impact hypothesis should be amended. © 2008 by The National Academy of Sciences of the USA.","Clovis; Comet; Population decline; Radiocarbon; Summed probability distribution","carbon 14; archeology; article; astronomy; Canada; demography; paleontology; population growth; priority journal; United States; Canada; Humans; Indians, North American; Meteoroids; Models, Theoretical; Paleontology; Population Density; Probability; Time Factors; United States",,,Article,"Final",Open Access,Scopus,2-s2.0-50149089960
"Peros M.C., Munoz S.E., Gajewski K., Viau A.E.","6505787804;35311336400;7004390467;7003840651;","Prehistoric demography of North America inferred from radiocarbon data",2010,"Journal of Archaeological Science","37","3",,"656","664",,95,"10.1016/j.jas.2009.10.029","https://www.scopus.com/inward/record.uri?eid=2-s2.0-72649101453&doi=10.1016%2fj.jas.2009.10.029&partnerID=40&md5=e6b36047cd5650ae9d39639139850d65","Large radiocarbon datasets are increasingly used as a paleodemographic proxy, although potential sources of bias in such records are poorly understood. In this paper, we use more than 25,000 radiocarbon dates extracted from the Canadian Archaeological Radiocarbon Database (CARD) to estimate long-term population trends in North America, while critically examining biases in such records. The frequency distribution of CARD dates shows a positive curvilinear pattern, such that older dates exist in lower numbers than more recent dates, which in part reflects the removal of cultural carbon from the archaeological record through processes such as erosion and dissolution. The average annual growth rate of radiocarbon dates in CARD was calculated and used to derive estimates of the population of North America from the Paleo-Indian to the Contact Periods. While taphonomic bias has likely affected the CARD data, other factors, such as the overrepresentation of Paleo-Indian and Archaic radiocarbon dates, may have offset any bias due to taphonomy. A quantitative reconstruction of Native American population shows that population increased rapidly around 2000 cal yr BP, reaching a maximum of 2,500,000 people by ∼AD 1150. From this time until European contact, the population declined, possibly due to the effects of increased sedentism and population density. © 2009 Elsevier Ltd. All rights reserved.","Prehistoric demography; Radiocarbon dating; Taphonomic bias; Temporal frequency distributions","demographic history; Holocene; population decline; population density; population estimation; prehistoric; radiocarbon dating; taphonomy; North America","Natural Sciences and Engineering Research Council of Canada, NSERC

Canadian Foundation for Climate and Atmospheric Sciences, CFCAS","The Canadian Archaeological Radiocarbon Database was created and maintained by the late Dr. Richard Morlan of the Canadian Museum of Civilization, to whom this paper is dedicated. We thank the many people who provided data and continue to work on updating it. This research was made possible by financial support from NSERC, CFCAS (PCSN Network) and the Canadian Museum of Civilization. We thank Matthew Betts for providing us the database and for valuable criticism and discussion. Our work also benefited from the comments of three anonymous reviewers. However, all errors or misinterpretations are ours alone.",Article,"Final",,Scopus,2-s2.0-72649101453
"Kuzmin Y.V., Keates S.G.","7005688056;16417345900;","Dates are not just data: Paleolithic settlement patterns in Siberia derived from radiocarbon records",2005,"American Antiquity","70","4",,"773","789",,87,"10.2307/40035874","https://www.scopus.com/inward/record.uri?eid=2-s2.0-34548745820&doi=10.2307%2f40035874&partnerID=40&md5=2225c3137dd353310264a74343fd78d4","The large radiocarbon database now established for Paleolithic sites in Siberia and the Russian Far East can be used to build up a picture of relative population size in these regions. We consider the time period of ca. 46,000 to 12,000 B.P. for which we have assembled and critically studied 437 radiocarbon dates. All dates from individual sites that fall within 1,000 14C years are considered as a single event and called occupation episode. The results of our analysis show that the number of 14C dates until ca. 28,000 B.P. is small and increases at ca. 28,000-20,000 B.P., and dates decrease in frequency for the ca. 20,000-16,000 B.P. time range. It is after ca. 16,000 B.P. that we see a substantial rise in the number of 14C dates. In terms of the relative size of Siberian Paleolithic populations based on the frequency of occupation episodes, population density was small until ca. 36,000 B.P. Subsequently, population size increased gradually at ca. 36,000-16,000 B.P., and the growth rate became almost exponential at ca. 16,000-12,000 B.P. The number of occupations from ca. 20,000 to 18,000 B.P. did not decrease, running counter to arguments that Siberia was completely or considerably depopulated during the Last Glacial Maximum. Copyright© 2005 by the Society for American Archaeology.",,,,,Article,"Final",,Scopus,2-s2.0-34548745820
"Steele J.","35265312900;","Radiocarbon dates as data: Quantitative strategies for estimating colonization front speeds and event densities",2010,"Journal of Archaeological Science","37","8",,"2017","2030",,75,"10.1016/j.jas.2010.03.007","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77953958453&doi=10.1016%2fj.jas.2010.03.007&partnerID=40&md5=4722ed23bdb67c643b8c7de6d4500060","Archaeological analysis of large-scale prehistoric population history requires us to estimate rates of spatial spread during dispersals, and rates and magnitudes of temporal contraction during crashes. Using OxCal's MCMC sampling routine, I introduce and demonstrate a simple and easily implemented method of estimating front speeds that takes due account of the uncertainty in the archaeological data (in both dates and distances), and argue that this method is more appropriate than those most often used in front speed estimation at present. I also propose a simple and easily implemented method of estimating event densities as a demographic proxy, as an alternative to summed calibrated probability distributions. I argue that this alternative is a significantly better technique, and show that its use also enables us to identify individual archaeological dates that are exerting particularly strong influence on the results, so that we can efficiently allocate our attention when assessing the possible effects of exogenous sampling uncertainty. To illustrate these methods I re-analyse two published datasets relating to the early Paleoindian colonization of North America. My results with the new technique indicate that even with a very noisy dataset, there was clear evidence in the framework of the INTCAL04 calibration curve for a drastic reduction in archaeological event densities following the Younger Dryas onset, followed by a prolonged period of reduced human activity, and a possible renewed phase of rapid growth after the Younger Dryas termination and onset of the Holocene. However, the revised estimate of the Younger Dryas marine reservoir offset in the INTCAL09 calibration curve for ~12,550-12,900 cal BP changes the picture significantly, by flattening the peak in Clovis-age events and pushing it forward in time into the early Younger Dryas itself. © 2010 Elsevier Ltd.","14C; Clovis culture; Fisher-KPP; OxCal; Radiocarbon; Traveling waves; Younger Dryas","archaeology; colonization; demographic history; Holocene; human activity; population density; population growth; prehistoric; radiocarbon dating; Younger Dryas",,,Article,"Final",,Scopus,2-s2.0-77953958453
"Hinz M., Feeser I., Sjögren K.-G., Müller J.","55251975600;6504288922;36829763900;22935166000;","Demography and the intensity of cultural activities: An evaluation of Funnel Beaker Societies (4200-2800 cal BC)",2012,"Journal of Archaeological Science","39","10",,"3331","3340",,71,"10.1016/j.jas.2012.05.028","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84864387808&doi=10.1016%2fj.jas.2012.05.028&partnerID=40&md5=b1629c8f44f3d040ecdec22a3d197191","The Early and Middle Neolithic in Northern Central Europe and Southern Scandinavia is characterised by substantial changes in economic technology as well as in material culture in different periods. One of the main drivers for social development, but also for anthropogenic changes in the environment, is surely shifts in population density. To evaluate group sizes and population density we need archaeological proxies. Similar to other studies, we use 14C dates to reconstruct the intensity of prehistoric activities. A comparison of the human impact from pollen data with a quantification based on 14C dates proves a correlation which supports our appreciation of the value of sum-calibrated probabilities of radiometric measurements as a proxy for demographic developments. The large amount of usable dates in this study not only enables us to draw general conclusions on a supraregional level, but also makes it possible for us to compare the character of different areas on a regional scale. As a result, we reconstruct a significant rise in population between 4100 and 3500 cal BC and a degression around 3350-3100 cal BC, followed by a reiterated increase for the Funnel Beaker West and North Groups. On the Danish Isles, as well as in the Funnel Beaker North Eastern Group, different tendencies are observable. © 2012 Elsevier Ltd.","Calibration; Demography; Funnel Beaker; Human impact; Neolithic; Pollen analysis; Proxy development; Quantification","anthropogenic effect; anthropology; archaeology; calibration; correlation; cultural history; demography; Neolithic; palynology; population density; probability; radiometric method; social development; Central Europe; Scandinavia","Deutsche Forschungsgemeinschaft, DFG: Mu 1259/16","This study was made possible by the funding of the German Science Foundation (DFG) in the framework of the SPP 1400 “Early Monumentality and Social Differentiation” (Mu 1259/16). We also like to thank the University of Kiel for funding the guest professorship of Karl-Göran Sjögren which enabled this close cooperation. Not at least we like to thank the student research assistants Henry Skorna and Marijana Krahl for their work in compiling the database, and Eileen Kücükkaraca and Nicole Taylor for proofreading.",Article,"Final",,Scopus,2-s2.0-84864387808
"Bayliss A., Bronk Ramsey C.","","Pragmatic Bayesians: A decade integrating radiocarbon dates into chronological models",2004,"Tools for Constructing Chronologies: Tools for Crossing Disciplinary Boundaries",,,,"25","41",,67,,,[No abstract available],,,,,,"Final",,Scopus,2-s2.0-33947585233
"Bamforth D.B., Grund B.","6506290181;54966571000;","Radiocarbon calibration curves, summed probability distributions, and early Paleoindian population trends in North America",2012,"Journal of Archaeological Science","39","6",,"1768","1774",,64,"10.1016/j.jas.2012.01.017","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84860612188&doi=10.1016%2fj.jas.2012.01.017&partnerID=40&md5=4982365ccd2b07a3554c5b33add2056c","Archaeologists increasingly examine summed probability distributions of radiocarbon dates to search for temporal trends in ancient human populations, including early North American population trends across the onset of the Younger Dryas climatic period (10,900 BC). We use both IntCal04 and IntCal09 to simulate and calibrate sequences of radiocarbon dates that represent evenly spaced calendar ages from 12,000 to 9000 BC and use IntCal09 to simulate two different demographic processes across this interval. The shapes of the calibrated summed probability distribution from our first set of simulations mirror many trends that have been interpreted in demographic terms and this shape shows clear links to the shape of the radiocarbon calibration curve. This is true for both IntCal04 and IntCal09, although these different curves produce different probability distributions. The shapes of the calibrated summed probability distribution from our second set of simulations differ somewhat but show virtually identical trends at points where the actual frequencies of calendar dates are very different. We conclude that changing frequencies of radiocarbon dates over time probably do contain demographic information, but that extracting this information is more difficult than archaeologists have acknowledged. © 2012 Elsevier Ltd.","Calibration curve; Demography; Paleoindian population; Radiocarbon; Summed probability distribution; Younger Dryas","archaeology; calibration; computer simulation; demography; radiocarbon dating; temporal record; Younger Dryas; North America",,,Article,"Final",,Scopus,2-s2.0-84860612188
"Kidder T.R.","6701827843;","Climate change and the Archaic to Woodland transition (3000-2500 cal B.P.) in the Mississippi River basin",2006,"American Antiquity","71","2",,"195","231",,61,"10.2307/40035903","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33746894903&doi=10.2307%2f40035903&partnerID=40&md5=cbc1004b5728046652707ecbfc3cd918","Archaeologists frequently assume the cultural transition from Archaic to Woodland (ca. 3000-2500 cal B.P.) in the Mississippi River basin is a gradual process. In the lower Mississippi Valley, however, there is an abrupt gap in the archaeological sequence at this time and pronounced differences between Late Archaic and Early Woodland archaeological remains. Elsewhere in the basin, this transition is marked by an occupation hiatus or decline and is accompanied by significant changes in settlement and material culture organization. In most parts of the floodplain of the Mississippi River and its tributaries there are few sites dating to this interval suggesting the river bottom was abandoned for several hundred years as a location for sustained habitation. High-resolution climate data demonstrates an episode of rapid global climate change involving significant alterations in temperature and precipitation in the period ca. 3000-2600 calB.P. The proximate cause of this global climate occurrence is change in galactic cosmic ray intensity and solar irradiation possibly amplified by variations in the earth's geomagnetic field. Global climate changes led to greatly increased flood frequencies and magnitudes in the Mississippi River watershed during the shift from Late Archaic to Early Woodland. In northeast Louisiana, increased flooding led to major fluvial reorganization that caused settlement abandonment and is associated with the demise of Poverty Point culture. Climate change and associated flooding is implicated as one cause of major cultural reorganization at the end of the Archaic throughout much of eastern North America. Copyright © 2006 by the Society for American Archaeology.",,,,,Review,"Final",,Scopus,2-s2.0-33746894903
"Perttula T.K.","",[No title available],1992,"The Caddo Nation: Archaeological and Ethnohistoric Perspectives",,,,"","",,61,,,[No abstract available],,,,,,"Final",,Scopus,2-s2.0-0009923460
